Ronda;Fecha;Local;Vistante;Goles Local;Goles Visitante;Total Goles;Resultado
6;2023-09-24 00:00:00;Real Sociedad;Getafe;4;3;7;Home
6;2023-09-23 00:00:00;Almeria;Valencia;2;2;4;Tie
6;2023-09-23 00:00:00;Barcelona;Celta Vigo;3;2;5;Home
6;2023-09-23 00:00:00;Osasuna;Sevilla;0;0;0;Tie
6;2023-09-23 00:00:00;Girona;Mallorca;5;3;8;Home
6;2023-09-22 00:00:00;Alaves;Ath Bilbao;0;2;2;Away
5;2023-09-18 00:00:00;Granada CF;Girona;2;4;6;Away
5;2023-09-17 00:00:00;Real Madrid;Real Sociedad;2;1;3;Home
5;2023-09-17 00:00:00;Sevilla;Las Palmas;1;0;1;Home
5;2023-09-17 00:00:00;Villarreal;Almeria;2;1;3;Home
5;2023-09-17 00:00:00;Getafe;Osasuna;3;2;5;Home
5;2023-09-16 00:00:00;Barcelona;Betis;5;0;5;Home
5;2023-09-16 00:00:00;Celta Vigo;Mallorca;0;1;1;Away
5;2023-09-16 00:00:00;Valencia;Atl. Madrid;3;0;3;Home
5;2023-09-16 00:00:00;Ath Bilbao;Cadiz CF;3;0;3;Home
5;2023-09-15 00:00:00;Rayo Vallecano;Alaves;2;0;2;Home
4;2023-09-03 00:00:00;Osasuna;Barcelona;1;2;3;Away
4;2023-09-03 00:00:00;Mallorca;Ath Bilbao;0;0;0;Tie
4;2023-09-03 00:00:00;Girona;Las Palmas;1;0;1;Home
4;2023-09-02 00:00:00;Betis;Rayo Vallecano;1;0;1;Home
4;2023-09-02 00:00:00;Alaves;Valencia;1;0;1;Home
4;2023-09-02 00:00:00;Real Madrid;Getafe;2;1;3;Home
4;2023-09-02 00:00:00;Real Sociedad;Granada CF;5;3;8;Home
4;2023-09-01 00:00:00;Almeria;Celta Vigo;2;3;5;Away
4;2023-09-01 00:00:00;Cadiz CF;Villarreal;3;1;4;Home
3;2023-08-28 00:00:00;Rayo Vallecano;Atl. Madrid;0;7;7;Away
3;2023-08-28 00:00:00;Getafe;Alaves;1;0;1;Home
3;2023-08-27 00:00:00;Ath Bilbao;Betis;4;2;6;Home
3;2023-08-27 00:00:00;Valencia;Osasuna;1;2;3;Away
3;2023-08-27 00:00:00;Villarreal;Barcelona;3;4;7;Away
3;2023-08-26 00:00:00;Sevilla;Girona;1;2;3;Away
3;2023-08-26 00:00:00;Granada CF;Mallorca;3;2;5;Home
3;2023-08-26 00:00:00;Cadiz CF;Almeria;1;1;2;Tie
3;2023-08-25 00:00:00;Celta Vigo;Real Madrid;0;1;1;Away
3;2023-08-25 00:00:00;Las Palmas;Real Sociedad;0;0;0;Tie
2;2023-08-21 00:00:00;Granada CF;Rayo Vallecano;0;2;2;Away
2;2023-08-21 00:00:00;Alaves;Sevilla;4;3;7;Home
2;2023-08-20 00:00:00;Betis;Atl. Madrid;0;0;0;Tie
2;2023-08-20 00:00:00;Barcelona;Cadiz CF;2;0;2;Home
2;2023-08-20 00:00:00;Girona;Getafe;3;0;3;Home
2;2023-08-19 00:00:00;Osasuna;Ath Bilbao;0;2;2;Away
2;2023-08-19 00:00:00;Almeria;Real Madrid;1;3;4;Away
2;2023-08-19 00:00:00;Real Sociedad;Celta Vigo;1;1;2;Tie
2;2023-08-18 00:00:00;Valencia;Las Palmas;1;0;1;Home
2;2023-08-18 00:00:00;Mallorca;Villarreal;0;1;1;Away
1;2023-08-14 00:00:00;Atl. Madrid;Granada CF;3;1;4;Home
1;2023-08-14 00:00:00;Cadiz CF;Alaves;1;0;1;Home
1;2023-08-13 00:00:00;Getafe;Barcelona;0;0;0;Tie
1;2023-08-13 00:00:00;Villarreal;Betis;1;2;3;Away
1;2023-08-13 00:00:00;Celta Vigo;Osasuna;0;2;2;Away
1;2023-08-12 00:00:00;Ath Bilbao;Real Madrid;0;2;2;Away
1;2023-08-12 00:00:00;Las Palmas;Mallorca;1;1;2;Tie
1;2023-08-12 00:00:00;Real Sociedad;Girona;1;1;2;Tie
1;2023-08-11 00:00:00;Sevilla;Valencia;1;2;3;Away
1;2023-08-11 00:00:00;Almeria;Rayo Vallecano;0;2;2;Away
